"ID","gender","age_group","age","edu","work_status","salary_or_ind","no_prof_activity","CSP","region","departement","commune_type","region_uda5","situation_dom","n_pers_dom","maladies1","maladies2","maladies3","maladies4","maladies5","maladies6","maladies7","maladies8","tf_femalemosq","example_dce","choice1","certainty1","choice2","certainty2","choice3","certainty3","choice4","certainty4","choice5","certainty5","choice6","certainty6","choice7","certainty7","choice8","certainty8","choice9","certainty9","choice10","certainty10","exercise_difficulty","freq_prevention","prev_activity1","prev_activity2","prev_activity3","prev_activity4","prev_activity5","prev_activity6","prev_activity7","prev_activity8","prev_activity9","prev_activity_other","eco_products","ac","hist_mborne","confiance_nat","confiance_reg","disease_prob","disease_fear","gmo_mosquito","housing_type","housing_other","langue","precarity","pregnant","dep_children","chronic_dis","freq_bites_cat","freq_bites_num","diet","diet_other","healthinfo1","healthinfo2","healthinfo3","healthinfo4","healthinfo5","healthinfo6","healthinfo_other","count_prev","activity_gouttieres","activity_pieges","activity_vetements","activity_insecticide","activity_moustiquaires","activity_vidage","activity_spirales","activity_repulsif","activity_recipients","mbd_maladie","mbd_know","confiance","threat","place","edu2","precarity2","age_group2","risk","asc_b_mean","b_part2_mean","b_part3_mean","b_part4_mean","b_freq_mean","b_env2_mean","b_env3_mean","b_se2_mean","b_se3_mean"
"1","Woman","60 to 69",61,"Bac (général, pro et technologique)","Artisan(e), commerçant(e), chef d'entreprise","Indépendant(e)","","CSP+","Bretagne","Finistère - (29)","Large city (>100 000 inhabitants)","North West","En couple","3 personnes","La dengue","Le chikungunya","Le paludisme","","","","","","Faux","Oui, montrez-moi un exemple","A",9,"A",9,"A",9,"B",9,"B",9,"B",9,"B",9,"B",9,"B",8,"B",9,1,"Several times a week","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Usage des répulsifs cutanés","L’entretien des gouttières pour faciliter le bon écoulement des eaux","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Utilisation de moustiquaires (sur les fenêtres)","Usage des pièges à moustiques","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Le port des vêtements longs, amples et clairs","","","Oui","Non","No or unsure",5,5,2,8,1,"Appartement","","No","No, never","","No","Yes","Sometimes","Less than once a week","Vegetarian","","Professionnels de santé","","","","","","",8,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",3,3,5,5,"Bretagne Grande ville (plus de 100 000 habitants)","Equal to secondary school","No",NA,"Low exposure",0.631615919045406,0.250114757928344,-0.0209743855398418,-0.503650970109196,-0.424411585864221,-3.90072324332694,-2.25446123402226,-0.0824857485244355,-1.14766555185926
"2","Woman","40 to 49",46,"Bac+2 (BTS ou autre)","Cadre ou profession libérale (cadre supérieur, cadre de direction, catégorie A de la fonction publique)","Salarié(e)","","CSP+","Pays de la Loire","Maine-et-Loire - (49)","Village (<2 000 inhabitants)","North West","En couple","2 personnes","Le paludisme","Le chikungunya","Le Zika","La dengue","","","","","Je ne sais pas","Oui, montrez-moi un exemple","A",3,"B",5,"A",8,"B",7,"B",8,"B",10,"B",8,"A",7,"A",1,"B",7,4,"Several times a week","Usage des pièges à moustiques","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Utilisation de moustiquaires (sur les fenêtres)","","","","","","","","Oui","Oui","No or unsure",5,5,6,8,6,"Maison individuelle","","No","No, never","No","No","Yes","Often","1 to 5 times per week","Reduced-meat diet","","Professionnels de santé","Votre propre recherche par internet","","","","","",3,"No","Yes","No","No","Yes","No","No","No","Yes",4,4,5,7,"Pays de la Loire Village / Zone rurale (moins de 2 000 habitants)","2–4 years beyond secondary school","No",NA,"Medium exposure",-0.884803241260268,0.241498757215279,1.14060428970788,-0.112433306008495,-0.167071310025777,-2.18715495498748,-0.748150497594535,-1.352535917881,-2.83010099840577
"3","Man","40 to 49",44,"Bac (général, pro et technologique)","Sans activité professionnelle actuelle","","Au chômage","Inactifs","Normandie","Seine-Maritime - (76)","Medium-sized city (between 20 000 and 100 000 inhabitants)","North West","Seul","1 personne","Le chikungunya","Le Zika","","","","","","","Faux","Non, allez directement aux 10 votes","B",3,"B",7,"A",7,"B",6,"B",7,"B",7,"B",8,"B",7,"A",3,"B",7,2,"A few times","Usage des répulsifs cutanés","","","","","","","","","","Non","Non","No or unsure",7,7,5,6,8,"Appartement","","No","No, never","","No","No","Sometimes","Less than once a week","Reduced-meat diet","","Professionnels de santé","","","","","","",1,"No","No","No","No","No","No","No","Yes","No",2,2,7,5.5,"Normandie Ville (entre 20 000 et 100 000 habitants)","Equal to secondary school","No",NA,"Low exposure",1.22751577089932,0.7926864602162,0.811193586024516,1.04138694489937,-0.201689502582935,-2.6557814927307,-2.0909811893314,-0.311069848494288,-2.82614329777541
"4","Woman","70 to 79",70,"Bac+2 (BTS ou autre)","Retraité(e)","","","Inactifs","Pays de la Loire","Maine-et-Loire - (49)","Village (<2 000 inhabitants)","North West","Seul","1 personne","Le paludisme","Le chikungunya","La dengue","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","A",6,"A",5,"A",5,"A",6,"A",6,"A",5,"B",4,"A",6,"B",6,"A",6,3,"Several times a week","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage de bougies et/ou de spirales anti-moustiques","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Usage des répulsifs cutanés","","","","","","","Oui","Non","No or unsure",6,5,5,6,5,"Maison individuelle","","No","No, never","","No","Yes","Sometimes","1 to 5 times per week","Omnivore","","Famille","Professionnels de santé","Votre propre recherche par internet","","","","",4,"No","No","No","Yes","No","Yes","Yes","Yes","No",3,3,5.5,5.5,"Pays de la Loire Village / Zone rurale (moins de 2 000 habitants)","2–4 years beyond secondary school","No",NA,"Medium exposure",-2.60515677433422,-1.70187269728435,-1.32032062889799,-2.31659252638476,0.272221933002753,-0.295117999523656,0.870691117785508,-1.90364388460098,-0.484212686152426
"5","Woman","30 to 39",35,"Bac+5 (Master, écoles d'ingénieurs, écoles d'arts, DEA, DESS, etc.)","Employé(e), Agent de la fonction publique (catégorie C)","Salarié(e)","","CSP-","Pays de la Loire","Vendée - (85)","Small town (between 2.000 and 20.000 inhabitants)","North West","En couple","2 personnes","La dengue","Le paludisme","VIH","Le chikungunya","Le Zika","","","","Faux","Non, allez directement aux 10 votes","A",5,"A",7,"A",5,"A",4,"B",7,"B",7,"B",7,"B",7,"A",4,"B",4,1,"Several times a week","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Le port des vêtements longs, amples et clairs","","","","","","","","","","Non","No or unsure",8,8,8,8,8,"Maison individuelle","","No","No, never","Yes","No","No","Never or almost never","Never","Reduced-meat diet","","Professionnels de santé","","","","","","",2,"No","No","Yes","No","No","No","No","No","Yes",3,3,8,8,"Pays de la Loire Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","5 or more years beyond secondary school","No",NA,"Medium exposure",0.950550035872725,0.530966925560735,-0.039238176867584,0.293650254289999,-0.149265317004614,-2.26164366101509,-1.89129656485794,0.709296089873928,-0.599353204144898
"6","Man","60 to 69",62,"Aucun diplôme","Retraité(e)","","","Inactifs","Centre-Val de Loire","Loiret - (45)","Large city (>100 000 inhabitants)","North West","En famille","3 personnes","Le paludisme","Le chikungunya","La dengue","","","","","","Faux","Oui, montrez-moi un exemple","B",8,"A",6,"B",8,"A",8,"A",8,"A",7,"A",9,"A",8,"A",8,"A",7,1,"Several times a week","Usage de bougies et/ou de spirales anti-moustiques","L’application d’insecticides (ou la fumigation) à l'intérieur ou à l'extérieur de la maison","Usage des répulsifs cutanés","","","","","","","","Non","Non","No or unsure",8,6,5,3,6,"Maison mitoyenne","","No","No, never","","Yes","Yes","Never or almost never","Never","Omnivore","","Les médias (journaux, magazines, télévision, radio)","Professionnels de santé","","","","","",3,"No","No","No","Yes","No","No","Yes","Yes","No",3,3,7,4,"Centre-Val de Loire Grande ville (plus de 100 000 habitants)","Lower than secondary school","No",NA,"Medium exposure",-1.64905577166965,-1.10303989556515,-1.04616849751201,-1.12431192450763,0.421985767371837,2.53379369284438,1.42150952959845,-0.34465306583504,0.508704495771672
"7","Man","70 to 79",72,"CAP/BEP (ou autre diplôme technique)","Retraité(e)","","","Inactifs","Occitanie","Hérault - (34)","Medium-sized city (between 20 000 and 100 000 inhabitants)","South East","En couple","2 personnes","La dengue","Le chikungunya","Le paludisme","","","","","","Faux","Oui, montrez-moi un exemple","A",6,"A",8,"A",8,"B",7,"B",6,"B",8,"B",8,"B",7,"B",7,"B",7,1,"Several times a week","Utilisation de moustiquaires (sur les fenêtres)","Le vidage régulier ou la suppression des coupelles sous les pots de fleurs, vases (ou le remplissage avec de sable afin de conserver l’humidité sans qu’il y ait d’eau stagnante)","Le rangement des récipients divers (les seaux, le matériel de jardinage, les jouets, etc.) à l’abri de la pluie pour éviter l’eau stagnante","Usage des répulsifs cutanés","Le port des vêtements longs, amples et clairs","","","","","","Oui","Oui","No or unsure",2,2,5,8,10,"Maison mitoyenne","","No","No, never","","No","Yes","Often","More than 10 times per week","Omnivore","","Professionnels de santé","Votre propre recherche par internet","","","","","",5,"No","No","Yes","No","Yes","Yes","No","Yes","Yes",3,3,2,6.5,"Occitanie Ville (entre 20 000 et 100 000 habitants)","Lower than secondary school","No",NA,"High exposure",0.607779677169125,0.249127828791372,-0.00982245011210823,-0.49562867592879,-0.408937938187654,-3.88549137941579,-2.23917544149459,-0.124124732637596,-1.19139591922709
"8","Man","18 to 29",29,"CAP/BEP (ou autre diplôme technique)","Ouvrier(e)","Salarié(e)","","CSP-","Ile-de-France","Val-d'oise - (95)","Small town (between 2.000 and 20.000 inhabitants)","Paris region","Seul","1 personne","Le chikungunya","","","","","","","","Je ne sais pas","Oui, montrez-moi un exemple","A",7,"B",5,"B",7,"B",6,"A",7,"A",4,"B",6,"A",7,"B",7,"A",5,1,"A few times","Usage des pièges à moustiques","","","","","","","","","","Oui","Non","No or unsure",5,6,5,4,5,"Maison individuelle","","No","No, never","","No","No","Never or almost never","Never","Omnivore","","Famille","","","","","","",1,"No","Yes","No","No","No","No","No","No","No",1,1,5.5,4.5,"Ile-de-France Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","Lower than secondary school","No",NA,"Medium exposure",-2.38591609257586,-1.52755099027581,-0.474864390907897,-1.42942734481655,-0.0105708669789407,0.0283264339398733,1.25829082605975,-2.43030347185332,-1.31420787036558
"9","Man","30 to 39",38,"Bac+2 (BTS ou autre)","Profession intermédiaire (technicien(ne), contremaitre, agent de maitrise, catégorie B de la fonction publique)","Salarié(e)","","CSP+","Auvergne-Rhône-Alpes","Loire - (42)","Small town (between 2.000 and 20.000 inhabitants)","South East","Seul","1 personne","Le paludisme","Le Zika","La dengue","Le chikungunya","","","","","Faux","Oui, montrez-moi un exemple","B",7,"B",6,"A",7,"B",8,"B",7,"B",8,"B",5,"B",7,"A",6,"B",7,5,"Never","","","","","","","","","","","","Non","No or unsure",6,5,5,3,3,"Maison individuelle","","No","No, never","","No","No","Never or almost never","Never","Omnivore","","Vos amis, voisins ou autres sources communautaires","Votre propre recherche par internet","","","","","",0,"No","No","No","No","No","No","No","No","No",4,4,5.5,4,"Auvergne-Rhône-Alpes Ville de taille moyenne (entre 2 000 et moins de 20 000 habitants)","2–4 years beyond secondary school","No",NA,"High exposure",1.25856258972514,0.811452695169644,0.815591231642563,1.0752981644278,-0.200715012549325,-2.63352271692674,-2.10448590802649,-0.266417340880286,-2.79822525088093
"10","Man","40 to 49",47,"Bac+2 (BTS ou autre)","Profession intermédiaire (technicien(ne), contremaitre, agent de maitrise, catégorie B de la fonction publique)","Salarié(e)","","CSP+","Ile-de-France","Seine-et-Marne - (77)","Medium-sized city (between 20 000 and 100 000 inhabitants)","Paris region","Seul","1 personne","Le chikungunya","Le paludisme","","","","","","","Faux","Non, allez directement aux 10 votes","B",6,"B",6,"A",6,"A",6,"A",7,"B",7,"A",7,"A",7,"B",7,"A",6,4,"Never","","","","","","","","","","","","Non","No or unsure",3,4,3,2,1,"Appartement","","No","Yes, sometimes","","Yes","No","Sometimes","1 to 5 times per week","Omnivore","","Vos amis, voisins ou autres sources communautaires","Votre propre recherche par internet","","","","","",0,"No","No","No","No","No","No","No","No","No",2,2,3.5,2.5,"Ile-de-France Ville (entre 20 000 et 100 000 habitants)","2–4 years beyond secondary school","Yes",NA,"Medium exposure",-2.37240931613984,-2.0356563020714,-1.18634288862111,-2.49466725124563,-0.0474877878085915,0.74177400969882,1.1031335015198,-2.14960834217008,-1.94006388644686
